"date","city","population","migration_rate","median_income","created_at"
"2005-01-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-01-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-01-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-01-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-01-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-01-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-01-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-02-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-02-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-02-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-02-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-02-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-02-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-02-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-03-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-03-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-03-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-03-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-03-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-03-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-03-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-04-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-04-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-04-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-04-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-04-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-04-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-04-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-05-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-05-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-05-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-05-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-05-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-05-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-05-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-06-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-06-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-06-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-06-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-06-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-06-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-06-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-07-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-07-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-07-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-07-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-07-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-07-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-07-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-08-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-08-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-08-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
"2005-08-01","Toronto",5248132,"112.80","37700.00","2025-11-05 07:48:55.684194"
"2005-08-01","Vancouver",2161810,"32.47","35300.00","2025-11-05 07:48:55.684194"
"2005-08-01","Victoria",335915,"32.47","40933.33","2025-11-05 07:48:55.684194"
"2005-08-01","Winnipeg",715431,"6.25","37600.00","2025-11-05 07:48:55.684194"
"2005-09-01","Calgary",1087482,"13.62","44700.00","2025-11-05 07:48:55.684194"
"2005-09-01","Edmonton",1043043,"13.62","43900.00","2025-11-05 07:48:55.684194"
"2005-09-01","Ottawa",1222671,"112.80","46400.00","2025-11-05 07:48:55.684194"
