"date","city","property_type","benchmark_price","source","created_at"
"2005-01-01","Calgary","All","208000","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-01-01","Calgary","Apartment","131400","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-01-01","Calgary","House","227800","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-01-01","Calgary","Town House","157400","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-01-01","Edmonton","All","168700","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-01-01","Edmonton","Apartment","106400","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-01-01","Edmonton","House","193300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-01-01","Edmonton","Town House","115000","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-01-01","Ottawa","All","218600","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-01-01","Ottawa","Apartment","203100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-01-01","Ottawa","House","223100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-01-01","Ottawa","Town House","167000","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-01-01","Toronto","All","315400","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-01-01","Toronto","Apartment","198300","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-01-01","Toronto","House","361400","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-01-01","Toronto","Town House","210300","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-01-01","Vancouver","All","351600","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-01-01","Vancouver","Apartment","216100","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-01-01","Vancouver","House","533800","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-01-01","Vancouver","Town House","286300","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-01-01","Victoria","All","298100","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-01-01","Victoria","Apartment","171600","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-01-01","Victoria","House","369200","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-01-01","Victoria","Town House","262500","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-01-01","Winnipeg","All","119500","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-01-01","Winnipeg","Apartment","104100","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-01-01","Winnipeg","House","120900","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-01-01","Winnipeg","Town House","113500","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-02-01","Calgary","All","210700","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-02-01","Calgary","Apartment","132600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-02-01","Calgary","House","231100","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-02-01","Calgary","Town House","158900","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-02-01","Edmonton","All","170100","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-02-01","Edmonton","Apartment","106900","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-02-01","Edmonton","House","195100","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-02-01","Edmonton","Town House","115600","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-02-01","Ottawa","All","221300","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-02-01","Ottawa","Apartment","202800","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-02-01","Ottawa","House","226200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-02-01","Ottawa","Town House","166600","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-02-01","Toronto","All","317900","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-02-01","Toronto","Apartment","199700","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-02-01","Toronto","House","364400","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-02-01","Toronto","Town House","211700","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-02-01","Vancouver","All","355100","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-02-01","Vancouver","Apartment","219200","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-02-01","Vancouver","House","538000","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-02-01","Vancouver","Town House","288900","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-02-01","Victoria","All","302200","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-02-01","Victoria","Apartment","174300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-02-01","Victoria","House","373700","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-02-01","Victoria","Town House","268300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-02-01","Winnipeg","All","122600","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-02-01","Winnipeg","Apartment","105000","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-02-01","Winnipeg","House","124200","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-02-01","Winnipeg","Town House","114400","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-03-01","Calgary","All","214700","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-03-01","Calgary","Apartment","135500","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-03-01","Calgary","House","235600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-03-01","Calgary","Town House","160700","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-03-01","Edmonton","All","171900","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-03-01","Edmonton","Apartment","107300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-03-01","Edmonton","House","197500","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-03-01","Edmonton","Town House","116300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-03-01","Ottawa","All","220100","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-03-01","Ottawa","Apartment","202500","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-03-01","Ottawa","House","224900","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-03-01","Ottawa","Town House","166200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-03-01","Toronto","All","321800","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-03-01","Toronto","Apartment","201200","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-03-01","Toronto","House","369400","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-03-01","Toronto","Town House","213000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-03-01","Vancouver","All","359500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-03-01","Vancouver","Apartment","224300","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-03-01","Vancouver","House","542300","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-03-01","Vancouver","Town House","291600","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-03-01","Victoria","All","306400","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-03-01","Victoria","Apartment","177100","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-03-01","Victoria","House","378300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-03-01","Victoria","Town House","274300","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
"2005-03-01","Winnipeg","All","124600","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-03-01","Winnipeg","Apartment","105900","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-03-01","Winnipeg","House","126400","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-03-01","Winnipeg","Town House","115200","CREA_HPI_v2025","2025-10-22 21:44:51.220436+00"
"2005-04-01","Calgary","All","217800","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-04-01","Calgary","Apartment","135700","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-04-01","Calgary","House","239600","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-04-01","Calgary","Town House","162400","CREA_HPI_v2025","2025-10-22 21:44:50.858636+00"
"2005-04-01","Edmonton","All","173300","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-04-01","Edmonton","Apartment","107800","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-04-01","Edmonton","House","199200","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-04-01","Edmonton","Town House","117000","CREA_HPI_v2025","2025-10-22 21:44:51.010431+00"
"2005-04-01","Ottawa","All","223200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-04-01","Ottawa","Apartment","190300","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-04-01","Ottawa","House","229200","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-04-01","Ottawa","Town House","165800","CREA_HPI_v2025","2025-10-22 21:44:51.397129+00"
"2005-04-01","Toronto","All","324600","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-04-01","Toronto","Apartment","201600","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-04-01","Toronto","House","373000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-04-01","Toronto","Town House","214000","CREA_HPI_v2025","2025-10-22 21:44:51.616267+00"
"2005-04-01","Vancouver","All","362600","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-04-01","Vancouver","Apartment","226500","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-04-01","Vancouver","House","546700","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-04-01","Vancouver","Town House","294300","CREA_HPI_v2025","2025-10-22 21:44:50.64485+00"
"2005-04-01","Victoria","All","313600","CREA_HPI_v2025","2025-10-22 21:44:50.492032+00"
