"date","city","metric","value","source","created_at"
"2005-01-01","Canada","mortgage_rate","6.05","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-01-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-01-01","Canada","unemployment_rate","6.9","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-02-01","Canada","mortgage_rate","6.05","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-02-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-02-01","Canada","unemployment_rate","7.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-03-01","Canada","mortgage_rate","6.25","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-03-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-03-01","Canada","unemployment_rate","6.9","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-04-01","Canada","mortgage_rate","6.05","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-04-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-04-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-05-01","Canada","mortgage_rate","5.95","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-05-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-05-01","Canada","unemployment_rate","7.0","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-06-01","Canada","mortgage_rate","5.7","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-06-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-06-01","Canada","unemployment_rate","6.8","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-07-01","Canada","mortgage_rate","5.8","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-07-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-07-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-08-01","Canada","mortgage_rate","5.8","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-08-01","Canada","overnight_rate","2.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-08-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-09-01","Canada","mortgage_rate","5.8","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-09-01","Canada","overnight_rate","2.75","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-09-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-10-01","Canada","mortgage_rate","6.0","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-10-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-10-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-11-01","Canada","mortgage_rate","6.15","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-11-01","Canada","overnight_rate","3.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-11-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2005-12-01","Canada","mortgage_rate","6.3","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2005-12-01","Canada","overnight_rate","3.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2005-12-01","Canada","unemployment_rate","6.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-01-01","Canada","mortgage_rate","6.3","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-01-01","Canada","overnight_rate","3.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-01-01","Canada","unemployment_rate","6.7","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-02-01","Canada","mortgage_rate","6.45","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-02-01","Canada","overnight_rate","3.5","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-02-01","Canada","unemployment_rate","6.6","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-03-01","Canada","mortgage_rate","6.45","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-03-01","Canada","overnight_rate","3.75","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-03-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-04-01","Canada","mortgage_rate","6.75","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-04-01","Canada","overnight_rate","4.0","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-04-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-05-01","Canada","mortgage_rate","6.75","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-05-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-05-01","Canada","unemployment_rate","6.2","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-06-01","Canada","mortgage_rate","6.95","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-06-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-06-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","mortgage_rate","6.95","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-07-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","mortgage_rate","6.85","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-08-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","mortgage_rate","6.7","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-09-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","mortgage_rate","6.8","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-10-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","mortgage_rate","6.55","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-11-01","Canada","unemployment_rate","6.5","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","mortgage_rate","6.45","BoC_V80691335","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","overnight_rate","4.25","BoC_V39079","2025-10-23 07:55:58.452358+00"
"2006-12-01","Canada","unemployment_rate","6.3","StatsCan_14-10-0287","2025-10-23 07:55:58.452358+00"
"2007-01-01","Canada","mortgage_rate","6.65","BoC_V80691335","2025-10-23 07:55:58.452358+00"
